,perimeter,area,roundness,mode,class
0,13852,422372,36.150972237402286,168,svar
1,7108,429116,9.36936733740299,142,super
2,19182,417042,70.20986122612679,111,para
3,12405,423819,28.893706088715703,150,mod
4,12392,423832,28.832294275817723,124,let
5,15752,420472,46.9596078558951,95,mod
6,17628,418596,59.07464842178646,127,let
7,19407,416817,71.90540292646618,111,para
8,12590,423634,29.774932648352653,128,super
9,16734,419490,53.12122150157103,127,svar
10,11542,424682,24.962519777444705,142,svar
11,9130,427094,15.53131474080274,139,super
12,12571,423653,29.683800400522227,124,let
13,9873,426351,18.193703971391237,134,let
14,13663,422561,35.1554661584107,121,let
15,12898,423326,31.27230824645608,112,super
16,7706,428518,11.027551027305876,139,super
17,20792,415432,82.8099881570666,105,svar
18,17186,419038,56.09011657425115,164,svar
19,10265,425959,19.685218722289246,110,let
20,9297,426927,16.110988078275664,44,svar
21,18237,417987,63.31901603426981,126,super
22,11129,425095,23.185497759350415,120,super
23,9551,426673,17.013460795394344,45,svar
24,13429,422795,33.94279810860924,130,let
25,14825,421399,41.503625856464055,131,let
26,18947,417277,68.46152971170504,148,svar
27,10940,425284,22.39472510961283,135,super
28,15652,420572,46.35423932820309,123,inter
29,17014,419210,54.95046337257979,123,inter
30,14895,421329,41.90345170660525,136,cyl
31,9262,426962,15.9886010159903,147,cyl
32,9293,426931,16.09697685693903,147,cyl
33,13158,423066,32.565801828498586,114,cyl
34,6654,429570,8.202038154821008,146,inter
35,11487,424737,24.721981830054908,130,inter
36,13754,422470,35.63299289716508,116,cyl
37,11235,424989,23.635162912024413,143,cyl
38,4505,431719,3.740921234557193,146,inter
39,13124,423100,32.395117094615415,114,cyl
40,14132,422092,37.65219268714826,105,cyl
41,9978,426246,18.58732183436508,132,inter
42,10645,425579,21.188551961298362,126,inter
43,13180,423044,32.67649125901391,119,inter
44,14059,422165,37.2577627590589,105,cyl
45,5197,431027,4.98644569757216,155,cyl
46,10403,425821,20.22461473913079,139,inter
47,15149,421075,43.37091752085591,124,inter
48,13799,422425,35.87036141935983,128,mod
49,19212,417012,70.43471139617667,111,para
50,19190,417034,70.26978452445523,111,para
51,20350,415874,79.24232209824783,115,mod
52,18143,418081,62.653870623446714,101,mod
53,19217,417007,70.4722229651124,111,para
54,27527,408697,147.53886966100907,123,svar
55,6083,430141,6.84565374264569,155,super
56,19235,416989,70.60735106887363,111,para
57,23461,412763,106.11637717828415,98,let
58,16662,419562,52.656046597242224,134,mod
59,16578,419646,52.116029199564416,137,let
60,24727,411497,118.2405170851597,174,mod
61,19174,417050,70.14996465046742,111,para
62,15429,420795,45.018925305850495,134,super
63,19380,416844,71.70082070055423,111,para
64,22829,413395,100.3225800541162,124,mod
65,20476,415748,80.2509549578276,127,mod
66,7190,429034,9.588622176299467,128,mod
67,16389,419835,50.91156007512085,107,para
68,19198,417026,70.32973454699062,111,para
